,title,artist,plays
0,By His Deeds,VC,3
1,Unconditional I (Lookout Kid),Arcade Fire,3
2,3X2 Slow,Bluetip,2
3,Age of Anxiety I,Arcade Fire,2
4,Anglophiles,The Magic Magicians,2
5,Be Your Own 3am,Adult Mom,2
6,Burn No Bridges,Gray Matter,2
7,Dancing Lasha Tumbai,Verka Serduchka,2
8,Dear John,Blonde Otter,2
9,Delirio,Quiet Fear,2
10,Empty in My Mind,Dehd,2
11,End Of Last Year,Porridge Radio,2
12,End of The Empire I-III,Arcade Fire,2
13,Falling Apart (Right Now),Wilco,2
14,House Jam,Gang Gang Dance,2
15,I Like It,Dirty Bird,2
16,I'm Gonna Do Somebody Right,Loretta Lynn,2
17,Mad At The Man,The Warmers,2
18,Nameless Harm,Slow Fiction,2
19,Night Steps,Tara Clerkin Trio,2
20,Nothing Lasts Forever,Echo & the Bunnymen,2
21,Ode To NYC,Blossoms,2
22,Of Things Yet to Come,Bloc Party,2
23,Pool Hopping,illuminati hotties,2
24,Repeater,Fugazi,2
25,Sea Song,Faraquet,2
26,See you Soon,beabadoobee,2
27,Snakeout,Rain,2
28,Take It Off,Demolition Doll Rods,2
29,Tastes Just Like It Costs,MJ Lenderman,2
30,Ten Feelings,Hotline TNT,2
31,The Hermit,Twin Suns,2
32,The Licensee,Channels,2
33,Tie-Dye,Hotline TNT,2
34,Toontown,MJ Lenderman,2
35,Unholy Affliction,Soccer Mommy,2
36,Unique Design,The Crane,2
37,World A Music,Ini Kamoze,2
38,happy accident,Tomberlin,2
39,just like heaven,The Lumineers,2
40,(I'm After) Your Best Interest,EXEK,1
41,(There Is) No Logic,LoneLady,1
42,(Till I) Run With You,The Loving Spoonful,1
43,*b_W (AmbACiD Version),Spencer & Saginaw,1
44,*you're,saoirse dream,1
45,*⁰‿⁰* mylittlepony.exe **BOOTLEG!!** __ESTRELAR RMX _☆,(ﾉ*･ω･)ﾉ*.plwushii☆ﾟ,1
46,100,Dean Blunt,1
47,1004,B.A.P.,1
48,1234,Christina Vantzou,1
49,125 West 3rd Street,Menswear,1
50,17,anemoneyouth,1
51,180 Degree Pole Shift Hypothesis (see page 87),Slauson Malone,1
52,180db_[130],Aphex Twin,1
53,1998-,.........,1
54,1c4ru5r3m1x,0d13stnks,1
55,25 Minutes to Go- Live at Folsom Prison,Johnny Cash,1
56,400 Million Plus Tax,Westside Gunn,1
57,423 Locked - dolfinboy,98Zone,1
58,4am in brooklyn,J.ROBB,1
59,4times,Wyatt Smith,1
60,50/50,Jockstrap,1
61,59th Bridge Street Song,Harpers Bizarre,1
62,7 Things - Live,Miley Cyrus,1
63,8:05,Moby Grape,1
64,"A Love Supreme, Pt. 1 - Acknowledgement",John Coltrane,1
65,"A Love Supreme, Pt. 2 - Resolution",John Coltrane,1
66,"A Love Supreme, Pt. 3 - Pursuance",John Coltrane,1
67,"A Love Supreme, Pt. 4 - Psalm",John Coltrane,1
68,A Taste Of Honey,Boogie Oogie Oogie,1
69,A Welcome Goodbye,Eades,1
70,A silent tide,Flying Saucer Attack,1
71,A. Simpatico B. Misterioso,"Howard Shore, Ornette Coleman",1
72,AS Wood Gas,Amnesia Scanner,1
73,ATLien Invader,DJ 999,1
74,ATTRACTION ARIA,DJ 999,1
75,A_K Trancecore - L0v3 1s a B4ttl3f13ld,nightcore4totalsluts,1
76,About Us,dba James,1
77,Acadian Driftwood,The Band,1
78,Acid Dent,Psychedelic Porn Crumpets,1
79,Acperience 1,Hardfloor,1
80,Across the Room,Ok Cowgirl,1
81,Acrylic,Spookystack,1
82,Advice to Teenage Self,U.S. Girls,1
83,Advise,Christy Ogbah,1
84,Affection training,Bratmobile,1
85,Affiliated (feat. Lil Durk),Future,1
86,Afrika,KFT,1
87,"Afro-Blue - Live At Birdland Jazzclub, New York City, NY, 10/8/1963",John Coltrane,1
88,Aftermath,Nightmares On Wax,1
89,Afternoon Love In,Prefuse 73,1
90,Age of Anxiety II (Rabbit Hole),Arcade Fire,1
91,Aimless,Lost Ties,1
92,Ain't It Good,Barbara Mandrell,1
93,Air to Feel Outside,Yutaka Hirose,1
94,Aiwo,UA,1
95,"Al Verlo Todo, Nada Veia",Saton,1
96,Albatros,Asamblea Internacional Del Fuego,1
97,Alex Bell,Guided By Voices,1
98,Alias Directory,The Monorchid,1
99,Alice in Vain,Sleeper,1
